,names_2,link_CU,research_interest,pernames,subfaculty,faculty
195,Duncan Lawson,https://pureportal.coventry.ac.uk/en/persons/duncan-lawson,Research Interests: Current research is focused on the development of learner identities in mathematics – both for those on specialist mathematics courses and those on courses where mathematics has a supporting role.  A particular focus in the latter case is the transition from school to university.  Related to this is evaluation of the effectiveness of mathematics support including the use of new technologies,,,
196,"Adam Layland,  MCPara MIHM MCMI FInstLM FHEA",https://pureportal.coventry.ac.uk/en/persons/adam-layland,"Research Interests: Adam has research interests in the field of healthcare leadership and management, blue light services, service improvements, mentoring, coaching and team effectiveness.",,,
197,Jordon Lazell,https://pureportal.coventry.ac.uk/en/persons/jordon-lazell,"Research Interests: - Consumer food waste behaviour
- Food consumption and food waste practices
- The circular economy
- Sustainable consumption",Jordon Lazell,Faculty Research Centre for Business in Society,Faculty of Business & Law
198,Gavin Leigh,https://pureportal.coventry.ac.uk/en/persons/gavin-leigh,Research Interests: Criminal Law,Gavin Leigh,School of Law,Faculty of Business & Law
199,Stuart Lemanski,https://pureportal.coventry.ac.uk/en/persons/stuart-lemanski,"Research Interests: Structural analysis and optimisation; Impact mechanics – and optimisation of protective structures (such as bicycle helmets).; Composite materials – particularly failure, fatigue, defect/damage tolerance and repair.",Stuart Lemanski,"School of Mechanical, Aerospace and Automotive Engineering","Faculty of Engineering, Environment & Computing"
200,Stefanie Lemke,https://pureportal.coventry.ac.uk/en/persons/stefanie-lemke,"Research Interests: Food and nutrition security with focus on underlying structural causes of poverty and hunger; right to adequate food; women's rights; gender; sustainable livelihoods; sustainable diets and local food systems; governance of natural resources; qualitative, participatory, transdisciplinary, rights-based and gendered approaches",,,
201,Luo Li,https://pureportal.coventry.ac.uk/en/persons/luo-li,"Research Interests: Dr. Luo Li maintains an interdisciplinary research interests including intellectual property, cultural heritages, fashion design, information technology, media and social economic development. Her current research focuses on digital transformation and advanced technologies including application of artificial intelligence in creative industries and its implications to the intellectual property law and regulatory. 
Research grants:
Seed Corn Fund (2016)Research Collaboration Fellowship (2016)  Crossover Design Workshop Grant (2015-2016)Chinese National Social Science Fund [Early Career] (2011-2014)Queen Mary University of London Research Fund (2010)Herchel Smith Awards (2009 – 2012)",Luo Li,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
202,Luo Li,https://pureportal.coventry.ac.uk/en/persons/luo-li,"Research Interests: Dr. Luo Li maintains an interdisciplinary research interests including intellectual property, cultural heritages, fashion design, information technology, media and social economic development. Her current research focuses on digital transformation and advanced technologies including application of artificial intelligence in creative industries and its implications to the intellectual property law and regulatory. 
Research grants:
Seed Corn Fund (2016)Research Collaboration Fellowship (2016)  Crossover Design Workshop Grant (2015-2016)Chinese National Social Science Fund [Early Career] (2011-2014)Queen Mary University of London Research Fund (2010)Herchel Smith Awards (2009 – 2012)",Luo Li,Faculty Research Centre for Dance Research (CDaRE),Faculty of Business & Law
203,Hailin Liao,https://pureportal.coventry.ac.uk/en/persons/hailin-liao,Research Interests: Innovation and technological change; Efficiency and productivity analysis; Economic growth in East Asian Economies,Hailin Liao,"School of Economics, Finance and Accounting",Faculty of Business & Law
204,Thet Thet Lin,https://pureportal.coventry.ac.uk/en/persons/thet-thet-lin,Research Interests: My main interest is in cancer biology in the area of blood cancer.  I am fascinated by how chronic lymphocytic leukaemia cells survive and how it communicate with its microenvironment.  I am also interested in looking at the effect of natural plant extract on CLL cells survival.,Thet Thet Lin,School of Life Sciences,Faculty of Health & Life Sciences
205,Piotr Lis,https://pureportal.coventry.ac.uk/en/persons/piotr-lis,Research Interests: Applied economics; Economics of terrorism; Foreign development aid; Economics of armed conflict; Economics of sanctions; Cybersecurity; Urban economics,Piotr Lis,"School of Economics, Finance and Accounting",Faculty of Business & Law
206,Margaret Liu,https://pureportal.coventry.ac.uk/en/persons/margaret-liu,"Research Interests: International Trade Law; Rights-based public service; International Criminal Law
; International Human Rights and State Obligations",Margaret Liu,School of Law,Faculty of Business & Law
207,Joan Lockyer,https://pureportal.coventry.ac.uk/en/persons/joan-lockyer,"Research Interests: Entrepreneurship and Gender; The Meaning and Future of Work; Transformational Entrepreneurship; Leadership in small, medium sized enterprises; Innovation: specifically how small businesses innovate; Critical Perspectives on Enterprise and Entrepreneurship Education",Joan Lockyer,School of Strategy and Leadership,Faculty of Business & Law
208,Neo Lophitis,https://pureportal.coventry.ac.uk/en/persons/neo-lophitis,"Research Interests: Power semiconductor devices and power electronics
Efficient and reliable power and energy conversion
Batteries for automotive applications",,,
209,Robert Low,https://pureportal.coventry.ac.uk/en/persons/robert-low,Research Interests: Liquid crystals; Mathematics and natural philosophy; Relativity and geometry in physics,Robert Low,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
210,Xin Lu,https://pureportal.coventry.ac.uk/en/persons/xin-lu,Research Interests: Big data; Wireless sensor networks,Xin Lu,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing"
211,Yun Luo,https://pureportal.coventry.ac.uk/en/persons/yun-luo,Research Interests: Financial liberalisation/integration; Foreign direct investment; Banking; Bank and business regulations; Efficiency and productivity,Yun Luo,School of Strategy and Leadership,Faculty of Business & Law
212,Lien Luu,https://pureportal.coventry.ac.uk/en/persons/lien-luu,Research Interests: Migration; Retirement; Investments; Financial planning; Financial literacy; Financial Education/ Personal finance,Lien Luu,"School of Economics, Finance and Accounting",Faculty of Business & Law
213,"Deborah Lycett, RD",https://pureportal.coventry.ac.uk/en/persons/deborah-lycett,Research Interests: Obesity; Spiritual Health; Emotional Eating; Religion and Health; Nutrition and Dietetics; Psychology of Eating and weight control,"Deborah Lycett, RD",Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
214,Gideon Maas,https://pureportal.coventry.ac.uk/en/persons/gideon-maas,"Research Interests: Research focused on industry and academic research. Focus areas include: Innovation; Entrepreneurship; Family businesses; Systemic entrepreneurship; Entrepreneurial eco-system; Entrepreneurial universities.
I was involved in external funded projects in the order of £3 162 467 - roles included grand holder, principal investigator.",Gideon Maas,International Centre for Transformational Entrepreneurship,Faculty of Business & Law
215,Stuart MacLennan,https://pureportal.coventry.ac.uk/en/persons/stuart-maclennan,Research Interests: EU Law; Devolution; Taxation Law; Competition Law; Law and Economics,Stuart MacLennan,School of Law,Faculty of Business & Law
216,Helen Maddock,https://pureportal.coventry.ac.uk/en/persons/helen-maddock,Research Interests: Cardiac contractile dysfunction ; Mitochondrial activity and energetic ; Drug-induced cardiotoxicity/Safety Pharmacology ; Myocardial stress adaptation and oxidative stress ; Human factor assessment using physiological techniques ; Identifying cardioprotective therapies for treating myocardial ischaemia/reperfusion injury ; Heart Failure,Helen Maddock,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences
217,Pauline Maleyrie,https://pureportal.coventry.ac.uk/en/persons/pauline-maleyrie,Research Interests: French culture; Media in France; French language teaching,Pauline Maleyrie,School of Humanities,Faculty of Arts & Humanities
218,Shahida Mallah,https://pureportal.coventry.ac.uk/en/persons/shahida-mallah,"Research Interests: Drug discovery, Pharmacology, Prostacylins, dementia, molecular modelling",Shahida Mallah,School of Life Sciences,Faculty of Health & Life Sciences
219,Efrider Fifi Maramwidze,https://pureportal.coventry.ac.uk/en/persons/efrider-fifi-maramwidze,"Research Interests: I am a Lecturer in International Business & MBA programmes and Associate Course Director for Msc International Business Management at the School of Strategy and Leadership, Coventry University. I am also a Fellow of the Higher Education Academy (FHEA). I have been involved extensively in the Teaching and Learning activities at UK HEs where I teach and lead Modules both at the undergraduate and postgraduate levels. ",Efrider Fifi Maramwidze,School of Strategy and Leadership,Faculty of Business & Law
220,Amber Martin-Woodhead,https://pureportal.coventry.ac.uk/en/persons/amber-martin-woodhead-martin-woodhead,"Research Interests: I have an overarching research focus on cultural economy approaches and the geographies of consumption. My ongoing research interests concern sustainable consumption and minimalism, ethical and sustainable fashion and fibres and gender and material embodiment.
I am currently conducting an RGS funded research project on the rise of minimalism within the UK, and a turn towards reduced and sustainable (non)consumption practices, as a potential response to excessive consumerism in a time of ‘peak stuff’. The research explores minimalist fashion practices and sustainable fashion consumption including; the rise of minimalist capsule wardrobe curation and minimalist fashion challenges (such as ‘project 222’ and Labour Behind the Label’s ‘6 item challenge’). 
I also have research interests in fashion and circular economies. I am also currently researching independent, sustainable and ethical fashion retailers specialising in creating fashion from previous 'waste' materials, objects and fibres.",Amber Martin-Woodhead,"Centre for Agroecology, Water and Resilience","Faculty of Engineering, Environment & Computing"
221,Mahmoud Masud,https://pureportal.coventry.ac.uk/en/persons/mahmoud-masud,"Research Interests: Mahmoud has a particular interest in International Human Rights, Islamic and English Law. Currently, Mahmoud conducts research that aims to establish possible middle ground between Islamic and International Law, on issues pertaining to Human Rights. However, Mahmoud aims to establish himself as a comparative lawyer and aims to further expand his comparative research beyond human rights, onto areas that involve Land, Inheritance and Trust law. Mahmoud believes that Islam is an adequate legal system and that his research aims to establish such perception with evidence from Islam, while addressing issues of implementation and interpretation in Muslim states. Mahmoud believes that his findings, if acknowledged, will help establish possible, internationally acceptable, legal frameworks, in the areas mentioned above, for Muslim states to utilise in order to meet international standards; without violating Islamic tenets.",Mahmoud Masud,School of Law,Faculty of Business & Law
222,Rachel Matthews,https://pureportal.coventry.ac.uk/en/persons/rachel-matthews,Research Interests: The practice of local journalism; the relationship between local news and local communities; the history of the provincial newspaper as a media form and as a business,Rachel Matthews,School of Media and Performing Arts,Faculty of Arts & Humanities
223,Anthony May,https://pureportal.coventry.ac.uk/en/persons/anthony-may,Research Interests: Sport; Culture; Politics; Sociology; Literature; Research Methods,Anthony May,School of Marketing and Management,Faculty of Business & Law
224,Barbara May,https://pureportal.coventry.ac.uk/en/persons/barbara-may,Research Interests: Biomechanics; Rehabilitation; Whole-body muscle modelling; Injury prevention within sport; Age-appropriate exercise for the older person,,,
225,Eno Maycock,https://pureportal.coventry.ac.uk/en/persons/eno-maycock,"Research Interests: Leadership; Performance Management; Strategic Reward Management; Performance Pay, Ethics and Employee Well-being; International Human Resource Management Practices, Pay disparities amongst women in Leadership positions, Corporate prostitution, Female Wealth creation and Entrepreneurship, Ethic Minority Women, financial development and sustainability.",Eno Maycock,School of Strategy and Leadership,Faculty of Business & Law
226,Georgina McAllister,https://pureportal.coventry.ac.uk/en/persons/george-mcallister,"Research Interests: Stabilisation Agriculture; equitable resilience; participatory action research; political ecology; peacebuilding; critical pedagogy; people’s knowledge; bio-cultural diversity; rooted networks & collective agency; gender & power; disaster risk reduction; generative approaches to climate change adaptation.
My research is interested in the transformative potential of agroecological processes in fragile environments and, more particularly, in the social-ecological processes and relationships through which communities of practice may be more able to mobilise and shape change on their own terms to reduce attendant vulnerabilities. This has included the potential of agroecology to address forms of violence by supporting social farming and deliberative democratic processes framed around the co-management of resources. It has explored the extent to which small ‘non-movements’ employ non-threatening, practice-based co-generative processes not only to shape physical landscapes, but to negotiate social change by re-forging networks based on principles of reciprocity and trust. My research interests also involve understanding how participatory praxis helps us to link the socio-cultural, ecological and political dimensions, and acts as a bridge between peace formation, disaster risk reduction and/or climate change adaptation on one hand, and equitable resilience and epistemic and cognitive justice on the other. 
 ",,,
227,Philip McCosker,https://pureportal.coventry.ac.uk/en/persons/philip-mccosker,Research Interests: Financial Reporting; Financial Accounting; Sport Finance,Philip McCosker,"School of Economics, Finance and Accounting",Faculty of Business & Law
228,Lynsey McCulloch,https://pureportal.coventry.ac.uk/en/persons/lynsey-mcculloch,Research Interests: Nature writing; Outdoor learning within higher education; The representation of dance and movement in early modern writing; The relationship between art and literature in the early modern period; The reinterpretation and performance of Renaissance texts as dance works,Lynsey McCulloch,School of Humanities,Faculty of Arts & Humanities
229,Marisa McGlinchey,https://pureportal.coventry.ac.uk/en/persons/marisa-mcglinchey,Research Interests: Irish Politics; Basque Politics; Israel-Palestine,,,
230,Danny McGough,https://pureportal.coventry.ac.uk/en/persons/danny-mcgough,Research Interests: Architectural Technology; Low impact design/performance; Performance modelling and analysis; Building Information Modelling (BIM); Optimising refurbishment and retrofit strategies,Danny McGough,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
231,Stephen McLoughlin,https://pureportal.coventry.ac.uk/en/persons/stephen-mcloughlin,"Research Interests: Mass atrocity and conflict prevention, mass atrocity early warning, peace education, peacbuilding, comparative genocide studies",,,
232,Pete McLuskie,https://pureportal.coventry.ac.uk/en/persons/pete-mcluskie,Research Interests: Entrepreneurship Education; Cultural and Creative industries; Cultural and creative entrepreneurship; Design Thinking,Pete McLuskie,International Centre for Transformational Entrepreneurship,Faculty of Business & Law
233,Emma Meehan,https://pureportal.coventry.ac.uk/en/persons/emma-meehan,Research Interests: Somatic practices; Practice as research; Irish dance and theatre,Emma Meehan,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
234,Yue Meng-Lewis,https://pureportal.coventry.ac.uk/en/persons/yue-meng-lewis,Research Interests: Sponsorship and endorsement; International communication strategy; and International human resource management ,Yue Meng-Lewis,School of Law,Faculty of Business & Law
235,Alessandro Merendino,https://pureportal.coventry.ac.uk/en/persons/alessandro-merendino,Research Interests: ,Alessandro Merendino,Faculty Research Centre for Business in Society,Faculty of Business & Law
236,EJ Milne,https://pureportal.coventry.ac.uk/en/persons/ej-milne,"Research Interests: Young people; People with refugee and migrant backgrounds; Community development; Critical participation; Community based research; Indigenous knowledges and decolonising approaches to research; Visual and arts based methodologies, methods and their applied ethics; Social justice.",,,
237,Vahid Mirza Beiki,https://pureportal.coventry.ac.uk/en/persons/vahid-mirza-beiki,"Research Interests: Vahid is active in research, teaching, supervision and consulting. His main research areas are Sustainability, Food Supply Chains, Inter-Organisational Collaboration, Information Systems, Industry 4.0 and IoT. 
He has worked as a project lead and a principal researcher on several national and European research projects including:
Intelligent Industrial Goods and ERP Systems, funded by Swedish Transport Administration (2008-2010).Step Change in Agri-foods Logistics Ecosystems (SCALE), funded by INTERREG IVB North West Europe, EU (2013-2015).Co-opetition in UK Logistics Industry, funded by Cranfield University School of Management (2015-2017). GS1 Standards for Managing the Cost-to-Serve in Apparel Supply Chains, funded by GS1 UK (2016). Intelligent Excavation, funded by Highways England (2017-2018).
Vahid is a member of the Editorial Advisory Board of the International Journal of Physical Distribution and Logistics Management and he is member of review boards of several leading journals of the Logistics, Supply Chain and Operations Management fields. 
Vahid's researches are published in a number of leading ABS listed academic journals and industrial outlets including International Journal of Production Economics, Journal of Business Research, the International Journal of Physical Distribution and Logistics Management, the International Journal of Logistics Management, British Food Journal, and the Logistics and Transport Focus. He has written a number of book chapters and published case studies. 
Selected publications
 Academic journals
Saghiri, S., Mirzabeiki, V. (2020), “Buyer-led environmental supplier development: can suppliers really help it?”, International Journal of Production Economics (Accepted)Mirzabeiki, V., Saghiri, S. (2020), “From ambition to action: How to achieve integration in omni-channel?”, Journal of Business Research, Vol. 110. pp.1-11.Danloup, Nicolas, Mirzabeiki, Vahid, Allaoui, Hamid, Goncalves, Gilles, Julien, Denyse Mena, Carlos (2015), “Improving sustainability performance through collaborative food distribution”, Management Research Review, Vol. 38 No. 10, pp.1049 - 1067. Mirzabeiki, Vahid, Holmström, Jan, Främling, Kary (2014), “Collaborative Tracking and Tracing: The Value of a Composite Design”, International Journal of Logistics Management, Vol.25 No.3, pp. 522 - 536.Mirzabeiki, Vahid and Ringsberg, Henrik (2014), “Effects on logistics operations from RFID- and EPCIS-enabled traceability”, British Food Journal, Vol. 116, No. 1, pp. 104-124. Mirzabeiki, Vahid, Holmström, Jan, Sjöholm, Per (2012), “Aligning Organizational Interests in Rail Wagon Tracking”, Operations Management Research, Vol. 5, No. 3-4, pp. 101-115. Mirzabeiki, Vahid, and Lumsden, Kenth (2008), “Determining the value of information for different partners in the supply chain”, International Journal of Physical Distribution & Logistics Management, Vol. 38 No.9, pp. 659-673. Mirzabeiki, Vahid and Sjöholm, Per (2012), “Sharing, tracking and tracing data to improve operations of Supply Chain actors”, International Journal of Logistics Systems and Management, Vol. 13, No. 1, pp. 81-95.Mirzabeiki, Vahid (2013), “An Overview of the Freight Intelligent Transportation Systems”, International Journal of Logistics Systems and Management, Vol. 14, No. 4, pp.473-489. Mirzabeiki, Vahid, Roso, Violeta, Sjöholm, Per (2016), “Collaborative tracking and tracing applied on dry ports”, International Journal of Logistics Systems and Management Vol. 25, No. 3, 425-440.
 Industrial journals
Mirzabeiki, Vahid; Humphries, Andrew, Wilding, Richard (2017), “Co-opetition in UK Logistics Industry”, Logistics and Transport Focus (CILT’s magazine), April issues.Mirzabeiki, Vahid; Broomhead, Jacky; Morroll, Laura; Wilding, Richard; Saghiri, Soroosh (2016), “Where did your profitability go? Managing the apparel omnichannel cost-to-serve”, GS1 UK.  Mirzabeiki, Vahid (2015), “Benefits on board”, Automotive Logistics, Vol. January-March 2015, p. 70.
 Book chapters      
Mena, Carlos, Julien Denyse, Mirzabeiki, Vahid (2016) ‘Chapter 15: Collaboration for sustainability in food supply chains’, in ‘A Stakeholder Approach to Managing Food’ by Lindgreen, A., Hingley, M. K., Angell, R. J., & Memery, J. (Eds.), Routledge.Mirzabeiki, Vahid (2016), ‘Data Sharing Between Supply Chain Actors’, in ‘Logistics, Supply Chain and Operations Management Case Study Collection’ by David Grant, Kogan Page Publishing, UK.Mirzabeiki, Vahid (2016), ‘Collaborative Distribution Considering Economic and Environmental Performance’, in ‘Logistics, Supply Chain and Operations Management Case Study Collection’ by David Grant, Kogan Page Publishing, UK.Mirzabeiki, Vahid (2016), ‘Supply Chain Design for E-Retailers’, in ‘Logistics, Supply Chain and Operations Management Case Study Collection’ by David Grant, Kogan Page Publishing, UK.",Vahid Mirza Beiki,Institute for Future Transport and Cities,Faculty of Business & Law
238,Mujahid Mohiuddin Babu,https://pureportal.coventry.ac.uk/en/persons/mujahid-mohiuddin-babu,"Research Interests: Mujahid's research interests cover a wide area which includes, but were not limited to, the following points.
Technology in marketingBig data analytpics capability and its applicationArtifiical Intelligence and its applicationSmartphone/Mobile apps and their impactConsumer behaviorService marketing and managementMarketing communicaton theory and strategyUnconventional marketing communications (e.g., influencer, content)Word of mouth marketing (offline and e-WoM)Marketing strategy: Operational level and corporate levelCustomer engagementEmployee engagementStrategic orientationCustomer co-creation of valueBottom of the pyramid (BoP) marketBranding strategy ",Mujahid Mohiuddin Babu,School of Marketing and Management,Faculty of Business & Law
239,Rachel Monaghan,https://pureportal.coventry.ac.uk/en/persons/rachel-monaghan,Research Interests: Informal justice; restorative justice; terrorism; counter-terrorism; and political violence,,,
240,Louise Moody,https://pureportal.coventry.ac.uk/en/persons/louise-moody,"Research Interests: - Co-creation based research that explores and improves health and wellbeing
- User-led development methods to ensure behaviour change and technology acceptance
- Development and evaluation of assistive technology, and technology for unmet health needs
- Communication design for newborn screening
- Development and evaluation of online and app-based health interventions",Louise Moody,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
241,Alyson Morris,https://pureportal.coventry.ac.uk/en/persons/alyson-morris,"Research Interests: Student Publishing; Creative Assessment; Digital Storytelling; Creative Non-Fiction; Short Story, Novel and Poetry; Teaching Creative Writing in HE",Alyson Morris,School of Humanities,Faculty of Arts & Humanities
242,Andrew Morris,https://pureportal.coventry.ac.uk/en/persons/andrew-morris,Research Interests: Nutritional Biochemistry; Dietary Potassium; Dietetic Practice; Food Environments; Mirconutrients.,Andrew Morris,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
243,Chas Morrison,https://pureportal.coventry.ac.uk/en/persons/chas-morrison,Research Interests: Conflict Response; Disaster Reconstruction; Civil Society; Civilian Protection,,,
244,Joe Morrissey,https://pureportal.coventry.ac.uk/en/persons/joe-morrissey,Research Interests: The Romantic-period novel; how the novel relates to changing experiences of self; women's writing; gender; the history of emotions; the gendering of domesticity in the Romantic period; social-scientific approaches to literature. ,Joe Morrissey,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
245,Shervin Motamedi,https://pureportal.coventry.ac.uk/en/persons/shervin-motamedi,"Research Interests: - Coastal protection using eco-technologies
- Soft soil improvement
- Geotechnical aspects of pavements
- Sustainable approaches in transport infrastructure geotechnics",Shervin Motamedi,"School of Energy, Construction and Environment","Faculty of Engineering, Environment & Computing"
246,Fred Mudhai,https://pureportal.coventry.ac.uk/en/persons/fred-mudhai,"Research Interests: New/open media and society - especially in developing world; ICT use by urban civil society political actors - Kenya and Zambia; Media and politics in Africa; Global/international media and communication, issues policies and theories; Journalism theories and practice.",Fred Mudhai,School of Media and Performing Arts,Faculty of Arts & Humanities
247,Abay Mulatu,https://pureportal.coventry.ac.uk/en/persons/abay-mulatu,Research Interests: Impact assessment; Economic geography; International trade; Development economics; Environmental economics,Abay Mulatu,Faculty Research Centre for Financial & Corporate Integrity,Faculty of Business & Law
248,Una Murphy,https://pureportal.coventry.ac.uk/en/persons/una-murphy,"Research Interests: Journalism and Community Outreach study 'Telling Our Stories: Migrants in Coventry' featured in Teaching and Learning Excellence - The Coventry Way at the June Teaching and Learning conference in:   
Simmons, C. (ed.) (2019) Teaching and Learning Excellence - The CoventryWay. [online]  Coventry: Coventry University. Available from <https://doi.org/10.18552/2019CUGCW1> 25 June 2019",Una Murphy,School of Media and Performing Arts,Faculty of Arts & Humanities
249,Rutendo Musikavanhu,https://pureportal.coventry.ac.uk/en/persons/rutendo-musikavanhu,"Research Interests: Main research area: Community support for mega events, the varied social impacts of mega events on society over time, sustainability of mega events.
Sub-disciplines: Tourism Social Science, Sustainability studies, Organisational Behaviour Studies, Management studies.
Alignment of interests: My research outputs align with the Sector, Economic and Financial Studies cluster, with a stronger focus on the Sector Studies and Economic and Societal Impacts core stream. More specifically, my research aligns to CBiS’s sector studies and economic and societal impacts cluster, in particular, aspects of sustainability, changing societal values and behavioural change interventions to enhance societal well-being.",Rutendo Musikavanhu,School of Marketing and Management,Faculty of Business & Law
250,Hilary Nesi,https://pureportal.coventry.ac.uk/en/persons/hilary-nesi,Research Interests: Language corpora; Academic writing; Academic speech events; Dictionary design and use; English for Specific Purposes; English for Academic Purposes,Hilary Nesi,"Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities
251,Hoang Nga Nguyen,https://pureportal.coventry.ac.uk/en/persons/hoang-nga-nguyen,"Research Interests: Formal methods; Cybersecurity; Railway; Automotive; Autonomous
 ",,,
252,Jacek Niklewski,https://pureportal.coventry.ac.uk/en/persons/jacek-niklewski,Research Interests: International financial markets; Portfolio management; Multivariate GARCH modelling; Corporate social responsibility,Jacek Niklewski,"School of Economics, Finance and Accounting",Faculty of Business & Law
253,Georgia Niolaki,https://pureportal.coventry.ac.uk/en/persons/georgia-niolaki,Research Interests: Dyslexia; Literacy (spelling and reading development); Bilingualism,Georgia Niolaki,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences
254,Abdurafiu Noah,https://pureportal.coventry.ac.uk/en/persons/abdurafiu-noah,"Research Interests: My research areas are social and environmental accounting and reporting. This includes exploring the corporate practice of social and environmental responsibilities and accounting for actions taken on the issues relating to the impacts of their corporate activities in the society. This also extends to sustainability related issues such as Biodiversity. Another related area of my research interest is accountability practices in both private and public sectors of the economy. Research interest in this area covers corrupt practices, particularly in the emerging economies.
Presently I have presented papers at conferences on the resarch interest areas both in UK and in other countries.
I have some papers published and other work in progress which I collaborated with some colleagues in UK and in other countries.
I am also looking forward to collaborate with others in my areas of research.",Abdurafiu Noah,"School of Economics, Finance and Accounting",Faculty of Business & Law
255,Math Noortmann,https://pureportal.coventry.ac.uk/en/persons/math-noortmann,"Research Interests: Armed Violence and Illicit Activities; Roles, rights and responsibilities of non-state actors from the perspective of law and politics.",,,
256,Lorna O'Doherty,https://pureportal.coventry.ac.uk/en/persons/lorna-odoherty,"Research Interests: My research is concerned with intimate partner violence and sexual violence as major public health problems globally. I am committed to maximising the role of health providers, and health care settings, in supporting those who have experienced partner or sexual violence. My recent work looks at different community and health care-based interventions for women survivors of abuse and I have led Cochrane Reviews and RCTs in this area. I am chief investigator on an NIHR grant to evaluate Sexual Assault Referral Centres in England and undertake a cohort study of health, wellbeing and costs for adult and children survivors of sexual assault and rape (MESARCH project).  I am also involved in the delivery of training resources to enhance care provided by health care workers to women experiencing partner violence and gender based violence during pregnancy.",Lorna O'Doherty,Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences
257,Ejemen Ojobo,https://pureportal.coventry.ac.uk/en/persons/ejemen-ojobo,Research Interests: Business Law; Law and Economics; Socio-Legal Research,Ejemen Ojobo,School of Law,Faculty of Business & Law
258,Luke Owen,https://pureportal.coventry.ac.uk/en/persons/luke-owen,Research Interests: Food systems; Short food chains; Community resilience and sustainable livelihoods,,,
259,Andrews Owusu,https://pureportal.coventry.ac.uk/en/persons/andrews-owusu,"Research Interests: Corporate Governance, Auditing and Earnings Management",Andrews Owusu,"School of Economics, Finance and Accounting",Faculty of Business & Law
260,Sam Oxford,https://pureportal.coventry.ac.uk/en/persons/sam-oxford,"Research Interests: An Applied Sport and Exercise scientist who specialises in biomechanics and Strength and conditioning with extensive knowledge and experience in developing and accessing training interventions with both elite and recreational athletes across a wide spectrum of sports and activities. A UKSCA accredited strength and conditioning coach. I have a proven track record in the development and delivery of high quality education and support programmes to multiple key UK organisations. I have worked with a number key companies in the assessment and development of their products. 
 ",Sam Oxford,School of Life Sciences,Faculty of Health & Life Sciences
261,Vasile Palade,https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Research Interests: Machine Learning and Applications; Deep learning; Image Processing,Vasile Palade,Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing"
262,Adrian Palka,https://pureportal.coventry.ac.uk/en/persons/adrian-palka,"Research Interests: Interdisciplinary performance; Sonic art in performance contexts; Art, culture and politics of central and eastern Europe",Adrian Palka,Faculty Research Centre for Dance Research (CDaRE),Faculty of Arts & Humanities
263,Styliani (Elina) Panetsidou,https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou,"Research Interests: Corporate finance, financial markets, private equity, insider trading, fintech/blockchain and digital currencies.",Styliani (Elina) Panetsidou,"School of Economics, Finance and Accounting",Faculty of Business & Law
264,Nicole Panizza,https://pureportal.coventry.ac.uk/en/persons/nicole-panizza,"Research Interests: Keywords: music, performance, cultural agency, literary analysis and criticism (poetics), gender studies, inter-medial collaboration
Mediums: operatic practice; Australian and American chamber music; performance as creative research and practice; music and text analysis (specialising in 20th and 21st century art song)",Nicole Panizza,School of Media and Performing Arts,Faculty of Arts & Humanities
265,David Parfitt,https://pureportal.coventry.ac.uk/en/persons/david-parfitt,Research Interests: Atomic scale simulation; fuel cell and battery materials; irradiation damage and thermal ageing of steels; additive manufacturing of aerospace components; phase equilibria and thermodynamics,,,
266,Junho Park,https://pureportal.coventry.ac.uk/en/persons/junho-park,Research Interests: Hydrodynamic instabilities; Vortex; Taylor-Couette flow; Waves in stratified and rotating fluids; Transition-to-turbulence; Nonlinear dynamical systems; Hypersonics; Compressible boundary layers; ,Junho Park,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing"
